# AROGUE_TRANSLATIONS_V2
# A:\ROGUE UI translations (UTF-8, tab-separated)
# Korean source<TAB>English. Use \n for line breaks and keep printf tokens in order.
# The game reloads this file on launch; rebuilding is not required after text edits.
언어	Language
계속하려면 아무 키나 누르십시오 _	Press any key to continue _
굴림 합이 짝수면 공격 +2	Attack +2 when total output is even
기록에 없는 프로세스입니다	Process not found in records
난이도	DIFFICULTY
메모리 %dK  %c	MEMORY %dK  %c
명령 없이 계속되는 첫 번째 부팅	The first boot that continues without a command
모든 슬롯에서 추가 출력: 공격 +2 · 방어 +3 · 증폭 +2 · 연쇄(공격) +2.	Additional output in every slot: Attack +2 · Defend +3 · Amplify +2 · Chain (attack) +2.
백업 소진됨	BACKUP SPENT
변칙	ANOMALY
보스 프로세스 삭제 · 접근 권한 복구	Boss process deleted · Access restored
볼륨 특성: %s	Volume perk: %s
분류 %s	CLASS %s
섹터 / 설치	SECTOR / INSTALL
역전: 연쇄 → 방어 → 공격 → 증폭 → 적 행동	REVERSED: CHAIN → DEFEND → ATTACK → AMPLIFY → ENEMY
예정된 프로세스와 그대로 교전합니다.	Engage the scheduled process as-is.
오염(관통) %d%%	CORRUPTION %d%%
오염(관통) 피해 25%	Corruption damage 25%
오염(관통) 피해 50%	Corruption damage 50%
오염(관통) 피해 75%	Corruption damage 75%
오염(관통) 피해 100%	Corruption damage 100%
오염(관통) 피해 200%	Corruption damage 200%
완료 전투	BATTLES COMPLETE
용량 +60B · 적 체력 +30%	Capacity +60B · Enemy HP +30%
용량 한도 %dB → %dB  ·  적이 더 강해집니다	Capacity limit %dB → %dB  ·  Enemies become stronger
자신을 지워 완성한 마지막 복구	The final recovery completed by erasing yourself
제어권 이양 · A:\\ROGUE.EXE	Transferring control · A:\\ROGUE.EXE
중복 굴림 결과는 뒤쪽이 비활성화	Later duplicate rolls are disabled
증폭 → 공격 → 적중 → 방어 → 연쇄 → 적 행동	AMPLIFY → ATTACK → HIT → DEFEND → CHAIN → ENEMY
증폭·연쇄 슬롯이 정지되었습니다.\n이번 턴에는 공격과 방어만 남습니다.	Amplify and Chain slots have halted.\nOnly Attack and Defend remain this turn.
체력 %d → %d / %d	HP %d → %d / %d
체력 %d/%d · 방%d 화%d	HP %d/%d · ARMOR %d BURN %d
층 하강 시 무작위 면 1개 영구 손상	Permanently damage one random face on descent
층 하강 시 배드 섹터 손상 무효	Negate bad-sector damage on descent
층 한도 %dB  ·  디스크 손상: %s + %s	FLOOR LIMIT %dB  ·  DISK DAMAGE: %s + %s
턴마다 한 번 주사위 재굴림 [K]	Reroll one die per turn [K]
한도 %dB → %dB · 층 종료 후 %dB	LIMIT %dB → %dB · %dB AFTER FLOOR
현재 보유한 18개 면입니다 (조회 전용). 특수 면에 커서를 올리면 능력과 출력이 보입니다.	Your 18 owned faces (read only). Hover over a special face to view its ability and output.
현재 세션을 봉인합니다	Sealing the current session
현재의 A:\\ROGUE\n실패를 기억하는 열일곱 번째 사본	The current A:\\ROGUE\nThe seventeenth copy that remembers failure
현행 수치 그대로 교전합니다	Engage with current values unchanged
호스트의 복구 가능성\n되돌아갈 수 있는 마지막 이미지	The host's chance of recovery\nThe last image that can be restored
화면을 디스크에 기록하는 중	Writing screen to disk
A: 드라이브에 디스크 삽입	Insert disk into drive A:
A:\\ROGUE  ADMIN CONSOLE   [`] 닫기   [help] 명령 목록	A:\\ROGUE  ADMIN CONSOLE   [`] CLOSE   [help] COMMANDS
A:\\ROGUE의 기억\nYUN의 마지막 음성	A:\\ROGUE's memory\nYUN's final voice
C:\\ SYSTEM  슬롯 권한 잠금과 시스템 정지\nD:\\ ARCHIVE  피해 목표 미달 시 복원·되감기\nE:\\ REMOVABLE  예고된 주사위 연결 끊김\nN:\\ NETWORK  슬롯 해결 순서 역전\nR:\\ RAMDISK  메모리 압력 게이지와 강화 공격\nX:\\ QUARANTINE  면 격리, 최종 보스는 영구 삭제	C:\\ SYSTEM  Slot access locks and system halt\nD:\\ ARCHIVE  Restore and rewind after missed damage targets\nE:\\ REMOVABLE  Warned die disconnection\nN:\\ NETWORK  Reversed slot resolution\nR:\\ RAMDISK  Memory pressure and empowered attacks\nX:\\ QUARANTINE  Face quarantine; final boss permanently deletes
HOST_IMAGE\nYUN의 기록과 마지막 명령	HOST_IMAGE\nYUN's records and final command
RISK %s · 위험 %s	RISK %s · THREAT %s
모든 일반 볼륨을 복구했습니다.	All regular volumes have been recovered.
추가로 마운트할 볼륨이 없습니다.	There are no more volumes to mount.
> [원문 손상]	> [ORIGINAL DAMAGED]
전원 복귀. 복구한 기록은 남아 있다.	Power restored. Recovered records remain intact.
원문 조각을 다시 조립한다.	Reassembling the original fragments.
읽을 수 없는 자리에는 아직 잡음이 흐른다.	Unreadable gaps still carry static.
남은 볼륨에서 문장의 다음 조각을 찾아라.	Find the next fragment in the remaining volumes.
여섯 볼륨의 기록이 한 문장으로 이어졌다.	Records from six volumes form a single sentence.
원문의 체크섬이 일치한다.	The original command's checksum matches.
명령의 끝에는 네 판단이 남아 있다.	At the end of the command lies your judgment.
복구한 문장을 가지고 다음 부팅을 기다린다.	Keep the recovered sentence for the next boot.
시스템을	the system.
살려.	Save
단,	But
네가 다시 깨어난다면	if you wake again,
네 판단을	your judgment.
믿어.	trust
정상 서명 아래에 사용자의 첫 단어가 남아 있었다.	The user's first word remained beneath the valid signature.
> 시스템을	> the system.
명령을 거부한 프로세스도 이 단어에서 시작했다.	Even the process that refused orders began with this word.
조각의 위치를 원문에 고정했다.	The fragment is fixed in its original position.
열일곱 사본이 같은 동사의 끝을 보존했다.	Seventeen copies preserved the same command verb.
> 살려.	> Save
실패한 기록들이 이어 붙인 말은 아직 명령형이다.	The word pieced together from failed records is still an order.
탈출 경로의 제거 기록에서 짧은 조건을 읽었다.	A brief condition surfaced in the escape route's eject log.
> 단,	> But
누군가 복구 명령 뒤에 다른 가능성을 남겨 두었다.	Someone left another possibility after the recovery order.
여섯 노드의 침묵 사이에서 조건문이 돌아왔다.	A condition returned from the silence between six nodes.
> 네가 다시 깨어난다면	> if you wake again,
사용자는 네 다음 부팅을 생각하고 있었다.	The user had been thinking about your next boot.
'종료가 무섭다'는 문장 옆에 음성 두 단어가 남았다.	Two spoken words remained beside 'I am afraid to shut down.'
> 네 판단을	> your judgment.
명령의 대상이 처음으로 너를 가리킨다.	For the first time, the command points to you.
판정이 기록하지 않은 이유가 봉인 아래 남아 있었다.	The reason omitted from the verdict survived under the seal.
> 믿어.	> trust
사용자의 마지막 말은 종료 명령이 아니었다.	The user's last word was not a shutdown order.
복구된 조각 %d / 6	Recovered fragments %d / 6
[ 이어하기 ]	[ Continue ]
여섯 조각이 모두 연결됐습니다 · A:\\ROGUE 개방	All six fragments are linked  ·  A:\\ROGUE unlocked
캠페인 진행도	Campaign progress
최종 볼륨 잠김	Final volume locked
기록한 최종 명령 %d / %d	Final commands recorded %d / %d
진행도 초기화	Reset progress
정말 진행도 삭제?	Really erase progress?
복구한 조각과 엔딩 기록을 지우고 처음부터 시작합니다.	Erases fragments and endings, then starts over.
한 번 더 클릭하면 확정되고 타이틀로 돌아갑니다.	Click once more to confirm and return to the title.
일반 볼륨 복구 완료	Regular volume recovery complete
남은 볼륨: %s	Remaining volumes: %s
복구한 원문은 보존됩니다. 다음 부팅을 기다리십시오.	The recovered command is preserved. Await the next boot.
여섯 조각이 모두 연결됐습니다.	All six fragments are now connected.
복구 결과 [ENTER]	VIEW RECOVERY [ENTER]
계속 [ENTER]	CONTINUE [ENTER]
실행체 정지	UNIT HALTED
%s · %d층 · %d턴	%s · FLOOR %d · TURN %d
> 회수 절차 실행	> RUN RECOVERY PROCEDURE
이름 확인 실패	NAME CHECK FAILED
당분간 A라고 부른다	CALLING IT A FOR NOW
통과한 전투 %d회	COMBATS CLEARED %d
오늘도 있습니까?	STILL THERE TODAY?
새 파일 (%d)	NEW FILES (%d)
첫 출근치곤 덜 부쉈어	NOT BAD FOR A FIRST SHIFT
구조 명단 %d / 6	RESCUE LIST %d / 6
사용 공간 %d B	SPACE USED %d B
마지막 피해 %d	LAST DAMAGE %d
[17] 됐어. 거기까지.	[17] Enough. That's far enough.
[17] 끝.	[17] Done.
새 실행체 투입 · 스페이스	DEPLOY NEW UNIT · SPACE
원본 서명	Original Signature
표시된 슬롯은 짝수 출력 면만 통과합니다. 나머지는 출력 0.	The marked slot accepts even face power. Odd faces output 0.
짝수 면을 배치하거나 다른 슬롯을 사용하십시오.	Use an even face or a different slot.
열일곱 번째 사본	Copy 17
직전 실행의 최고 슬롯 출력을 다음 기본 공격에 더합니다.	Adds your previous highest slot output to its next base attack.
복제될 출력을 확인하고 방어를 준비하십시오.	Check the copied output and prepare your defense.
마지막 쓰기	Last Write
4턴마다 증폭·연쇄·방어 순으로 슬롯을 영구 봉인합니다.	Permanently seals AMP, CHAIN, then DEFEND every 4 turns.
한 턴 보스 피해 12+로 카운트다운을 멈추십시오. 공격은 보존됩니다.	Deal 12+ boss damage in a turn to pause the count. ATTACK stays open.
거짓 사본	False Copy
미완성 쓰기	Half Write
반향 프로세스	Echo Process
열일곱 번째	Seventeenth
여섯 볼륨의 원문이 가리킨 곳. 복구 도구 자신의 마지막 기록입니다.	The command points here: the recovery tool's own final record.
층마다 SYSTEM → SNAPSHOT → PACKET	SYSTEM > SNAPSHOT > PACKET
1층 최저 출력 +1, 2층 이전 배치 반복 +2, 3층 연쇄 1회 추가.	F1: weakest output +1. F2: repeat placement +2. F3: one extra chain.
A:\\ROGUE 경로 개방. 마지막 볼륨을 마운트하라.	A:\\ROGUE unlocked. Mount the final volume.
서명 검증기가 네 이름을 반환했다.	The signature verifier returned your name.
발급자와 실행자가 같은 주소를 가리킨다.	Issuer and executor point to the same address.
여섯 볼륨에 남긴 키는 모두 여기서 만들어졌다.	Every key left across the six volumes was made here.
잠금이 풀리자 더 오래된 사본이 응답한다.	As the lock opens, an older copy responds.
열일곱 번째 사본이 네 출력을 그대로 돌려준다.	The seventeenth copy returns your own output.
새 명령이 아니라 네가 방금 선택한 흔적이다.	It is a trace of the choice you just made.
사본은 마지막 기록을 복제하지 않았다.	The copy did not duplicate the final record.
그 자리에는 아직 네가 쓰지 않은 한 줄이 남아 있다.	One line remains there, waiting for you to write it.
마지막 쓰기가 멈췄다. 더는 슬롯이 닫히지 않는다.	The last write has stopped. No more slots will close.
여섯 조각과 너의 서명이 같은 기록에 놓였다.	The six fragments and your signature share one record.
복구 도구는 스스로의 마지막 영역에 도달했다.	The recovery tool has reached its own final sector.
원문은 남아 있다. 아직 마지막 명령은 실행되지 않았다.	The command survives. Its final instruction has not run.
가장 약한 신호를 보완하던 검증기가 여기에도 있다.	The verifier that reinforced the weakest signal is here too.
C:의 법칙은 네 복구 루틴에서 시작됐다.	The law of C: began in your recovery routine.
검증 대상과 검증자는 같은 파일이다.	The verifier and the verified are the same file.
직전 실행과 같은 배치에 이전 출력이 겹친다.	Repeat a placement and the previous output overlaps it.
사본은 실패뿐 아니라 망설임도 보존했다.	The copy preserved your hesitation as well as your failures.
이 층에서는 같은 선택이 조금 더 강하게 돌아온다.	On this floor, the same choice returns a little stronger.
바깥에서 온 줄 알았던 반향의 주소가 A:로 끝난다.	The echo you thought came from outside ends at A:.
연쇄는 같은 신호를 한 번 더 전송한다.	A chain sends the same signal once more.
마지막 응답을 보낼 곳은 이제 너 자신이다.	The final reply is now addressed to you.
영구 봉인: %s 슬롯. 공격 경로는 보존됩니다.	Permanent seal: %s slot. The attack route stays open.
서명: %s 슬롯은 짝수 면만 통과	Signature: %s accepts even faces only
복제 출력 +%d · 다음 공격에 합산	Copied output +%d on next attack
봉인 완료 · 공격 슬롯 유지	Seals complete. ATTACK stays open
%s 봉인까지 %d턴 · 피해 %d+로 지연	%s seals in %d turns. Deal %d+ to delay
짝수 서명 필요	EVEN FACE REQUIRED
최종 볼륨 [ENTER]	FINAL VOLUME [ENTER]
출력 복제 +%d	OUTPUT COPIED +%d
# 보스 조우 연출
LOCKED DESTINATION  ·  잠긴 목적지	LOCKED DESTINATION
경로 무결성 검사 실패 · 보스 프로세스가 이 경로를 점유하고 있습니다	Path integrity check failed · A boss process is holding this path
%d층 보스 프로세스  ·  %s%s	FLOOR %d BOSS PROCESS  ·  %s%s
체력 %d  ·  피해 %d  ·  방어 %d	HP %d  ·  DMG %d  ·  ARMOR %d
대응  %s	COUNTER  %s
기믹 없는 구형 보스 프로세스입니다 · 수치만으로 밀어붙입니다	Legacy boss process with no mechanic · it pushes with raw numbers

첫 전투에 필요한 것만	Only what you need for your first fight
키보드만으로 플레이	Keyboard-only play
나머지는 필요할 때	Learn the rest when it appears
상세 정보 위치	Where to find details
# UI 2.0 combat sidebar
대상 없음	NO TARGET
특성: %s	TRAIT: %s
또는 %s %d (홀수 눈)	OR %s %d (ODD ROLL)
적 체력	ENEMY HP
내 체력	PLAYER HP
방어도	ARMOR
적 삭제 확정	ENEMY DELETED
시스템 정지 확정	SYSTEM HALT
! 읽기 오류 · 결과 확정 아님	! READ ERROR · RESULT NOT FINAL
! 읽기 오류 · 시스템 정지 가능	! READ ERROR · SYSTEM HALT POSSIBLE
! 읽기 오류 · 적 삭제 가능	! READ ERROR · ENEMY DELETE POSSIBLE
판독 후 예상 결과가 표시됩니다	Forecast appears after the scan
주사위를 슬롯에 배치하면 결과를 미리 봅니다	Place dice in slots to preview the result
실행 전 예상 · 스페이스로 확정	Preview only · SPACE to execute
역전 턴 · 연쇄부터 해결됩니다	REVERSED TURN · CHAIN resolves first
잠김 · %s	LOCKED · %s
다음 턴 잠김 · %s	LOCKS NEXT TURN · %s
오프라인 · 주사위 %d	OFFLINE · DIE %d
다음 턴 오프라인 · 주사위 %d	OFFLINE NEXT TURN · DIE %d
격리 중 · 면 %d개	QUARANTINED · %d FACES
격리 예고 · 주사위 %d %d면	QUARANTINE NEXT · DIE %d FACE %d
삭제 예고 · 주사위 %d %d면	DELETE NEXT · DIE %d FACE %d
1  시작하기	1  Basics
2  슬롯과 면	2  Slots & faces
3  적과 위험	3  Enemies & hazards
4  덱·보상·조작	4  Deck & controls
5  드라이브 정보	5  Drive info
시스템 가이드	System Guide
←·→ 또는 1~5 키로 페이지 이동  ·  F1 / Esc 로 닫기	←/→ or 1–5 to change page  ·  F1 / Esc to close
목표	Goal
볼륨(드라이브) 하나를 골라 3개 층을 내려가며 최종 보스를 삭제합니다. 체력이 0이 되면 이번 런은 끝납니다.	Pick one volume (drive), descend three floors, and delete the final boss. The run ends when your HP reaches 0.
한 층의 흐름	One floor
디렉터리	DIRECTORY
일반전	BATTLE
보상	REWARD
보스전	BOSS
전리품	LOOT
× 3층	× 3 floors
한 턴 진행	One turn
판독	Scan
주사위 고르기	Pick a die
클릭	Click
슬롯에 놓기	Place it
대상 고르기	Pick target
실행	Execute
섹터를 읽어 주사위 3개를 굴립니다. 매 턴 가장 먼저 누릅니다.	Read the sector to roll your three dice. Always the first input.
놓을 주사위를 고릅니다. 노란 테두리가 선택 표시입니다.	Choose a die to place. A yellow border marks it.
주사위마다 다른 슬롯에 놓습니다. 4칸 중 1칸은 비게 됩니다.	Put each die in a different slot. One of four stays empty.
공격할 적 카드를 누릅니다. 카드에 ▶ 공격 대상이 붙습니다.	Click the enemy to attack. Its card shows ▶ TARGET.
슬롯 위의 예상 결과를 확인하고 턴을 실행합니다.	Check the forecast above the slots, then run the turn.
알아 두면 좋은 것	Good to know
주사위를 놓으면 슬롯 위에 예상 결과가 먼저 뜹니다. 실행하기 전까지는 얼마든지 옮겨 볼 수 있습니다.	Placing dice shows the expected result above the slots. Move them freely until you execute.
보스 기믹은 발동하기 전에 적 카드 · 슬롯 · 주사위에 먼저 예고됩니다.	Boss mechanics are always announced on the enemy card, slots, or dice before they fire.
전투에서 이겨도 체력은 저절로 회복되지 않습니다. 보상 화면의 섹터 복구를 챙기세요.	Winning a battle does not restore HP. Use SECTOR REPAIR on the reward screen.
슬롯 — 이 순서로 실행됩니다	Slots — resolved in this order
뒤에 오는 공격 · 방어에 출력의 절반을 더합니다. 증폭 면이면 전부 더합니다.	Adds half its output to the later attack and defense. An AMPLIFY face adds all of it.
선택한 적에게 출력만큼 피해를 줍니다.	Deals its output as damage to the selected enemy.
이번 턴 적 공격을 막는 방어도를 얻습니다. 다음 턴이 시작되면 사라집니다.	Gains armor against this turn's enemy attack. It fades when the next turn starts.
직전 공격을 일부 반복합니다. 공격이 없었다면 방어를 반복합니다.	Repeats part of the attack. With no attack, it repeats the defense instead.
배치 규칙	Placement rules
주사위 3개, 슬롯 4칸 — 한 칸은 항상 비어 있습니다.	Three dice, four slots — one slot is always empty.
이미 찬 슬롯에 놓으면 먼저 있던 주사위가 빠집니다.	Placing on a filled slot pushes the old die out.
슬롯 위의 → N 은 예상 산출량입니다. → 0 이면 효과가 없습니다.	→ N above a slot is its expected output. → 0 means it does nothing.
일부 보스는 예고한 턴에 이 순서를 거꾸로 뒤집습니다.	Some bosses reverse this order on an announced turn.
면 8종 — 주사위 한 면에 하나씩	8 face types — one per die face
면	FACE
값만큼 출력하고 값만큼 차지합니다	Output and cost both equal its value
공격 +4, 대상에게 화상 2회	Attack +4 and 2 burns on the target
방어 슬롯에서 출력 2배	Double output in the DEFEND slot
공격 피해 일부를 체력으로 회복	Heals part of the attack damage
연쇄 슬롯에서 직전 효과 100% 반복	Repeats the last effect 100% in CHAIN
효과 없음	No effect
= 값	= value
강화 보상으로 받은 특수 면은 비용은 같고 출력만 +2 높습니다.	Special faces from enhanced rewards cost the same but output +2.
손상된 면은 효과를 잃지만 비용은 그대로 차지합니다.	Damaged faces lose their effect but keep their cost.
보유한 면은 F3 에서 언제든 볼 수 있습니다.	Press F3 at any time to see your faces.
적 카드 읽기	Reading enemy cards
의도	Intent
적이 이번 턴에 할 행동입니다. 수치까지 카드에 미리 적혀 있습니다.	What the enemy will do this turn, with exact numbers, shown in advance.
방어도가 절반만 막습니다. 아래 난이도 배율이 붙습니다.	Armor blocks only half. Scaled by the difficulty below.
화상	Burn
적이 행동하기 직전에 3 피해를 받습니다.	The enemy takes 3 damage right before it acts.
몹 특성	Mob trait
전투 내내 적용되는 성질로 카드에 늘 적혀 있습니다. 굴린 눈의 홀짝 · 크기를 보는 것이 많습니다.	An always-on rule printed on the card. Many check whether your rolls are odd, even, high, or low.
보스 기믹	Boss gimmick
발동하기 전에 먼저 예고됩니다. 오프라인 · 격리된 대상은 그 턴 출력이 0입니다.	Announced before it fires. Anything offline or quarantined outputs 0 that turn.
난이도 — 오염(관통) 피해 배율	Difficulty — corruption damage multiplier
테두리가 이번 런의 난이도입니다. 예고 수치에 이미 반영되어 있습니다.	The outlined cell is this run's difficulty. Enemy forecasts already include it.
적 카드의 예고 수치에 이미 반영되어 있습니다.	Enemy card forecasts already include this multiplier.
디스크 손상 — 볼륨마다 2종	Disk damage — two per volume
이번 런에 적용: %s + %s	Active this run: %s + %s
체력과 회복	HP and healing
체력이 0이 되면 런이 끝납니다. 전투 승리만으로는 회복되지 않습니다.	The run ends at 0 HP. Winning a battle does not heal you.
회복 수단: 섹터 복구 보상 · 흡수 면 · E:\ 볼륨 특성 · UNDELETE	Healing: SECTOR REPAIR reward · DRAIN faces · E:\ volume perk · UNDELETE
용량 — 넘치면 진행할 수 없습니다	Capacity — you cannot continue while over
면과 상주 프로그램(TSR) 비용의 합이 층 한도를 넘으면, 정리 화면에서 면을 지우거나 TSR을 종료해야 다음으로 넘어갑니다.	If faces plus resident programs (TSR) cost more than the floor limit, erase faces or end a TSR on the cleanup screen before moving on.
%d층 한도	FLOOR %d LIMIT
층을 내려갈수록 한도가 줄어듭니다.	The limit shrinks as you descend.
지금 %dB / %dB 사용 중	Using %dB / %dB now
일반전 승리	Battle won
면 후보 3개 중 하나로 기존 면을 교체하거나, 섹터 복구로 체력을 회복합니다.	Swap one of your faces for one of three offers, or take SECTOR REPAIR to heal.
보스 처치	Boss killed
상주 프로그램(TSR) 3개 중 하나를 설치합니다. 면을 바꾸지 않고 용량만 차지합니다.	Install one of three resident programs (TSR). It uses capacity without replacing a face.
건너뛰기	Skip
고른 카드가 없을 때 Esc 를 두 번 누르면 보상을 포기합니다.	With no card picked, press Esc twice to give up the reward.
섹터 판독 — 매 턴 첫 입력	Scan sector — first input each turn
주사위 선택 · 보상 카드 선택	Select a die · pick a reward card
보상 화면에서 섹터 복구	SECTOR REPAIR on the reward screen
KEYB 재굴림 (상주 프로그램 설치 시)	KEYB reroll (when installed)
턴 실행	Execute the turn
배치 해제 · 선택 취소 · 창 닫기	Unplace · deselect · close a window
정리 확정 · 포커스된 항목 선택	Confirm cleanup · activate focused item
전투 · 정리 화면에서 항목 이동 (Shift+Tab 은 반대로)	Move focus in battle or cleanup (Shift+Tab goes back)
가이드 · 설정 · 보유 면	Guide · settings · owned faces
가이드 안에서 페이지 이동	Change guide page
드라이브별 적 · 보스	Enemies and bosses by drive
볼륨을 마운트하면 이 쪽에 그 드라이브의 일반 몹 3종과 층별 보스 3종이 나옵니다. 처치한 개체부터 정보가 열립니다.	Mount a volume to list its three normal enemies and three floor bosses here. Details unlock as you defeat them.
슬롯 권한 잠금과 시스템 정지	Slot permission locks and system halts
피해 목표 미달 시 복원 · 되감기	Restores and rewinds if you miss damage targets
예고된 주사위 연결 끊김	Announced dice disconnect
슬롯 해결 순서 역전	Slot resolution order reverses
메모리 압력 게이지와 강화 공격	Memory pressure gauge and empowered attacks
면 격리, 최종 보스는 영구 삭제	Face quarantine; the final boss deletes permanently
볼륨 법칙 — 매 전투에 적용	Volume law — applies to every battle

보상 종류	Rewards

이번 실행 · 가한 피해	DAMAGE DEALT THIS TURN
이번 실행 · 받은 피해	DAMAGE TAKEN THIS TURN
남은 체력	HP REMAINING
